... building the model
... training
epoch 1, test error 518, learning_rate=1.0 **
epoch 2, test error 337, learning_rate=0.998000025749 **
epoch 3, test error 272, learning_rate=0.99600404501 **
epoch 4, test error 231, learning_rate=0.994012057781 **
epoch 5, test error 239, learning_rate=0.992024064064
epoch 6, test error 214, learning_rate=0.990040063858 **
epoch 7, test error 227, learning_rate=0.988059997559
epoch 8, test error 194, learning_rate=0.98608392477 **
epoch 9, test error 188, learning_rate=0.984111785889 **
epoch 10, test error 180, learning_rate=0.982143580914 **
epoch 11, test error 162, learning_rate=0.980179309845 **
epoch 12, test error 174, learning_rate=0.978218972683
epoch 13, test error 172, learning_rate=0.976262569427
epoch 14, test error 166, learning_rate=0.974310040474
epoch 15, test error 160, learning_rate=0.972361445427 **
epoch 16, test error 153, learning_rate=0.970416724682 **
epoch 17, test error 152, learning_rate=0.968475937843 **
epoch 18, test error 159, learning_rate=0.966539025307
epoch 19, test error 133, learning_rate=0.964605987072 **
epoch 20, test error 155, learning_rate=0.962676823139
epoch 21, test error 143, learning_rate=0.960751473904
epoch 22, test error 140, learning_rate=0.95882999897
epoch 23, test error 146, learning_rate=0.956912338734
epoch 24, test error 143, learning_rate=0.954998552799
epoch 25, test error 139, learning_rate=0.953088581562
epoch 26, test error 148, learning_rate=0.951182425022
epoch 27, test error 145, learning_rate=0.949280083179
epoch 28, test error 149, learning_rate=0.947381556034
epoch 29, test error 129, learning_rate=0.945486843586 **
epoch 30, test error 141, learning_rate=0.94359588623
epoch 31, test error 134, learning_rate=0.941708743572
epoch 32, test error 132, learning_rate=0.939825356007
epoch 33, test error 132, learning_rate=0.937945723534
epoch 34, test error 139, learning_rate=0.936069846153
epoch 35, test error 125, learning_rate=0.934197723866 **
epoch 36, test error 145, learning_rate=0.93232935667
epoch 37, test error 131, learning_rate=0.930464744568
epoch 38, test error 134, learning_rate=0.928603827953
epoch 39, test error 136, learning_rate=0.926746666431
epoch 40, test error 139, learning_rate=0.924893200397
epoch 41, test error 138, learning_rate=0.923043429852
epoch 42, test error 126, learning_rate=0.921197354794
epoch 43, test error 128, learning_rate=0.919354975224
epoch 44, test error 125, learning_rate=0.917516291142
epoch 45, test error 127, learning_rate=0.915681302547
epoch 46, test error 134, learning_rate=0.913849949837
epoch 47, test error 133, learning_rate=0.912022292614
epoch 48, test error 125, learning_rate=0.910198271275
epoch 49, test error 127, learning_rate=0.908377885818
epoch 50, test error 133, learning_rate=0.906561136246
epoch 51, test error 129, learning_rate=0.904748022556
epoch 52, test error 122, learning_rate=0.90293854475 **
epoch 53, test error 133, learning_rate=0.901132702827
epoch 54, test error 142, learning_rate=0.899330437183
epoch 55, test error 128, learning_rate=0.897531807423
epoch 56, test error 126, learning_rate=0.895736753941
epoch 57, test error 121, learning_rate=0.893945276737 **
epoch 58, test error 117, learning_rate=0.892157435417 **
epoch 59, test error 129, learning_rate=0.890373170376
